titulo,volumes,andamento,vol_type,author
Demon Slayer,23,"0,87",regular,Koyoharu Gotouge
Jujutsu Kaisen,23,"1,00",regular,Gege Akutami
Chainsaw Man,13,"1,00",regular,Tatsuki Fujimoto
Spy x Family,12,"0,92",regular,Tatsuya Endo
Citrus,10,"1,00",regular,Saburouta
Soul Eater - Perfect Edition,17,"0,22",special edition,Atsushi Ohkubo
Fullmetal Alchemist,27,"0,56",regular,Hiromu Arakawa
Jojo's Bizarre Adventures: Part 1 - Phantom Blood,5,"0,00",regular,Hirohiko Araki
Jojo's Bizarre Adventures: Part 2 - Battle Tendency,7,"0,29",regular,Hirohiko Araki
Jojo's Bizarre Adventures: Part 3 - Stardust Crusaders,23,"0,00",regular,Hirohiko Araki
Jojo's Bizarre Adventures:Part 4 - Diamond Is Unbreakable,18,"0,39",regular,Hirohiko Araki
Jojo's Bizarre Adventures: Part 5 - Golden Wind,17,"0,41",regular,Hirohiko Araki
Jojo's Bizarre Adventures: Part 6 -  Stone Ocean,17,"0,88",regular,Hirohiko Araki